feature_id,feature_name,aliases,description
732,CALR,"['CALR', 'CALR1', 'CRT', 'HEL-S-99n', 'RO', 'SSA', 'cC1qR']",
761,CASP8,"['ALPS2B', 'CAP4', 'CASP8', 'Casp-8', 'FLICE', 'MACH', 'MCH5']",
778,CBL,"['C-CBL', 'CBL', 'CBL2', 'FRA11B', 'NSLL', 'RNF55']",
779,CBLB,"['ADMIO3', 'CBLB', 'Cbl-b', 'Nbla00127', 'RNF56']",
781,SERPINH1,"['AsTP3', 'CBP1', 'CBP2', 'HSP47', 'OI10', 'PIG14', 'PPROM', 'RA-A47', 'SERPINH1', 'SERPINH2', 'gp46']",
826,CD19,"['B4', 'CD19', 'CVID3']",
827,MS4A1,"['B1', 'Bp35', 'CD20', 'CVID5', 'FMC7', 'LEU-16', 'MS4A1', 'S7']",
855,CD44,"['CD44', 'CDW44', 'CSPG8', 'ECM-III', 'ECMR-III', 'H-CAM', 'HCELL', 'HUTCH-1', 'HUTCH-I', 'Hermes-1', 'IN', 'LHR', 'MC56', 'MDU2', 'MDU3', 'MIC4', 'Pgp1']",
859,CD58,"['CD58', 'LFA-3', 'LFA3', 'ag3']",
864,CD70,"['CD27-L', 'CD27L', 'CD27LG', 'CD70', 'LPFS3', 'TNFSF7', 'TNLG8A']",
868,CD79B,"['AGM6', 'B29', 'CD79B', 'IGB', 'Igbeta']",
888,CDH1,"['Arc-1', 'BCDS1', 'CD324', 'CDH1', 'CDHE', 'ECAD', 'LCAM', 'UVO']",
906,CDK2,"['CDK2', 'CDKN2', 'p33(CDK2)']",
908,CDK5,"['CDK5', 'LIS7', 'PSSALRE']",
912,CDK9,"['C-2k', 'CDC2L4', 'CDK9', 'CTK1', 'PITALRE', 'TAK']",
913,CDKN1A,"['CAP20', 'CDKN1', 'CDKN1A', 'CIP1', 'MDA-6', 'P21', 'SDI1', 'WAF1', 'p21CIP1']",
914,CDKN1B,"['CDKN1B', 'CDKN4', 'KIP1', 'MEN1B', 'MEN4', 'P27KIP1']",
916,CDKN2B,"['CDK4I', 'CDKN2B', 'INK4B', 'MTS2', 'P15', 'TP15', 'p15INK4b']",
927,CDX2,"['CDX-3', 'CDX2', 'CDX2/AS', 'CDX3']",
938,CENPA,"['CENP-A', 'CENPA', 'CenH3']",
976,CHD1,"['CHD-1', 'CHD1', 'PILBOS']",
981,CHEK1,"['CHEK1', 'CHK1', 'OZEMA21']",
1193,CREBBP,"['CBP', 'CREBBP', 'KAT3A', 'MKHK1', 'RSTS', 'RSTS1']",
1204,CRKL,['CRKL'],
1234,CSF1,"['CSF-1', 'CSF1', 'MCSF', 'PG-M-CSF']",
1239,CSF3R,"['CD114', 'CSF3R', 'GCSFR', 'SCN7']",
1278,CTAG1B,"['CT6.1', 'CTAG', 'CTAG1', 'CTAG1B', 'ESO1', 'LAGE-2', 'LAGE2B', 'NY-ESO-1']",
1281,CTBP2,['CTBP2'],
1283,CCN2,"['CCN2', 'CTGF', 'HCS24', 'IBP-8', 'IGFBP8', 'NOV2']",
1285,CTLA4,"['ALPS5', 'CD', 'CD152', 'CELIAC3', 'CTLA-4', 'CTLA4', 'GRD4', 'GSE', 'IDDM12']",
1290,CTNNB1,"['CTNNB', 'CTNNB1', 'EVR7', 'MRD19', 'NEDSDV', 'armadillo']",
1342,CYP2D6,"['CPD6', 'CYP2D', 'CYP2D6', 'CYP2D7AP', 'CYP2D7BP', 'CYP2D7P2', 'CYP2D8P2', 'CYP2DL1', 'CYPIID6', 'P450-DB1', 'P450C2D', 'P450DB1']",
1376,DGKA,"['DAGK', 'DAGK1', 'DGK-alpha', 'DGKA']",
1390,DBI,"['ACBD1', 'ACBP', 'CCK-RP', 'DBI', 'EP']",
1396,DCC,"['CRC18', 'CRCR1', 'DCC', 'HGPPS2', 'IGDCC1', 'MRMV1', 'NTN1R1']",
