gene_id,variant_id,molecular_profile_id,evidence_id
1.0,528.0,4351,1290.0
1.0,528.0,4351,1291.0
1.0,549.0,545,1330.0
1.0,549.0,545,1333.0
1.0,549.0,4221,1337.0
1.0,549.0,4221,1338.0
1.0,549.0,4221,1339.0
1.0,549.0,4221,11067.0
1.0,550.0,546,1336.0
1.0,588.0,4328,11113.0
1.0,588.0,4328,11115.0
1.0,588.0,4329,11114.0
1.0,588.0,4330,4632.0
1.0,588.0,4332,1483.0
1.0,588.0,4333,4633.0
1.0,589.0,4357,1484.0
1.0,589.0,4357,4794.0
1.0,839.0,813,1936.0
1.0,839.0,813,7421.0
1.0,839.0,813,7484.0
1.0,839.0,813,7646.0
1.0,1275.0,1249,2942.0
1.0,1275.0,1249,4782.0
1.0,1275.0,4206,7594.0
1.0,1275.0,4238,7595.0
1.0,1275.0,4253,843.0
1.0,1275.0,4253,844.0
1.0,1275.0,4253,7605.0
1.0,1275.0,4305,7603.0
1.0,1295.0,1269,2987.0
1.0,1295.0,1269,3048.0
1.0,1492.0,1400,4430.0
1.0,1492.0,4229,11072.0
1.0,1492.0,4229,11079.0
1.0,1493.0,1401,4431.0
1.0,1505.0,1413,4473.0
1.0,1553.0,1461,4609.0
1.0,1554.0,1462,4613.0
1.0,1556.0,1464,4626.0
1.0,1661.0,1569,4795.0
1.0,1661.0,1569,7567.0
1.0,1661.0,1569,7569.0
1.0,1683.0,1591,4827.0
1.0,2635.0,2504,7136.0
1.0,2798.0,2667,7568.0
1.0,2798.0,2667,7570.0
1.0,2813.0,4356,7599.0
1.0,2914.0,2783,7866.0
1.0,3371.0,3239,9404.0
1.0,3371.0,4228,11071.0
1.0,4301.0,4172,440.0
1.0,4301.0,4172,766.0
1.0,4301.0,4172,767.0
1.0,4301.0,4348,8887.0
1.0,4301.0,4527,11386.0
1.0,4324.0,4206,7594.0
1.0,4324.0,4230,141.0
1.0,4324.0,4230,237.0
1.0,4324.0,4230,442.0
1.0,4324.0,4230,1341.0
1.0,4324.0,4230,4034.0
1.0,4324.0,4230,4036.0
1.0,4324.0,4230,4037.0
1.0,4324.0,4230,4038.0
1.0,4324.0,4230,4039.0
1.0,4324.0,4230,4040.0
1.0,4324.0,4230,7597.0
1.0,4324.0,4230,7598.0
1.0,4324.0,4230,7865.0
1.0,4324.0,4230,11073.0
1.0,4324.0,4230,11080.0
1.0,4324.0,4254,7591.0
1.0,4324.0,4254,7592.0
1.0,4324.0,4304,2343.0
1.0,4324.0,4304,4035.0
1.0,4324.0,4304,7611.0
1.0,4324.0,4328,11113.0
1.0,4324.0,4328,11115.0
1.0,4324.0,4329,11114.0
1.0,4329.0,4220,11066.0
1.0,4330.0,4223,11068.0
1.0,4331.0,4225,236.0
1.0,4331.0,4225,841.0
1.0,4331.0,4225,842.0
1.0,4331.0,4225,1346.0
1.0,4331.0,4225,4042.0
1.0,4331.0,4225,4043.0
1.0,4331.0,4225,4044.0
1.0,4331.0,4225,4046.0
1.0,4331.0,4225,7609.0
1.0,4331.0,4225,7613.0
1.0,4331.0,4225,8860.0
1.0,4331.0,4225,11069.0
1.0,4331.0,4225,11078.0
1.0,4331.0,4253,843.0
1.0,4331.0,4253,844.0
1.0,4331.0,4253,7605.0
1.0,4332.0,4227,11070.0
1.0,4333.0,4232,11074.0
1.0,4333.0,4232,11081.0
1.0,4334.0,4234,11075.0
1.0,4334.0,4234,11077.0
1.0,4389.0,4308,444.0
1.0,4389.0,4308,1347.0
1.0,4389.0,4308,1348.0
1.0,4389.0,4308,1349.0
1.0,4389.0,4308,4608.0
2.0,4.0,4,231.0
2.0,4.0,4,707.0
2.0,4.0,4,709.0
2.0,4.0,4,3039.0
2.0,4.0,4,4029.0
2.0,4.0,4,9007.0
2.0,4.0,4,12181.0
2.0,169.0,169,439.0
2.0,169.0,169,4498.0
2.0,169.0,169,6260.0
2.0,237.0,,
2.0,1190.0,,
2.0,1191.0,1165,10762.0
2.0,1192.0,,
2.0,2360.0,2233,6259.0
2.0,3257.0,3126,4051.0
2.0,4222.0,4090,10765.0
2.0,4223.0,4091,10766.0
2.0,4224.0,4092,10767.0
2.0,4906.0,5065,12020.0
2.0,4906.0,5287,12075.0
2.0,4938.0,,
3.0,10.0,10,17.0
3.0,10.0,10,40.0
